Image,Latitude,Longitude,Date
02084,-37.688507730944444,144.9482998575,2017-02-22
02085,-37.68861159136111,144.94942508169444,2017-02-22
02086,-37.68162292477778,144.90893793269444,2017-02-22
02087,-37.681781872694444,144.91004409644444,2017-02-22
02088,-37.685341368472216,144.92075879377776,2017-02-22
02089,-37.68518315302777,144.91964400769444,2017-02-22
02090,-37.68831055208333,144.9462767485278,2017-02-22
02091,-37.68842734613889,144.9473988824722,2017-02-22
02092,-37.687300063138885,144.9366361343889,2017-02-22
02093,-37.685899281999994,144.92523249438887,2017-02-22
02094,-37.68743788416666,144.9377535468889,2017-02-22
02095,-37.68576269541666,144.92411203177778,2017-02-22
02096,-37.68649302008333,144.93004065466667,2017-02-22
02097,-37.686630899499995,144.93115889391666,2017-02-22
02098,-37.681243978666664,144.9064037875,2017-02-22
02099,-37.682880629277776,144.9129383588889,2017-02-22
02100,-37.68112048877777,144.905291312,2017-02-22
02101,-37.68359365786111,144.91364001633335,2017-02-22
02102,-37.68083181472222,144.89920936602778,2017-02-22
02103,-37.68087133533333,144.8980801318611,2017-02-22
02104,-37.684634012472216,144.91610227761112,2017-02-22
02105,-37.68432777277778,144.9150433458611,2017-02-22
02106,-37.688583261805555,144.94908705547223,2017-02-22
02107,-37.68943727308333,144.95784161430555,2017-02-22
02108,-37.688475660777776,144.9479625152778,2017-02-22
02109,-37.68186209119444,144.91059993269445,2017-02-22
02110,-37.68170101994444,144.90949009966667,2017-02-22
02111,-37.68725963211111,144.93630075925,2017-02-22
02112,-37.68712584644444,144.93518243808333,2017-02-22
02113,-37.68750091608333,144.93831296144444,2017-02-22
02114,-37.68736888755555,144.93719501580557,2017-02-22
02115,-37.680931686166666,144.89288865455555,2017-02-22
02116,-37.68839382561111,144.94706255916668,2017-02-22
02117,-37.680848342944444,144.89175980866665,2017-02-22
02118,-37.68827554419444,144.94593998544445,2017-02-22
02119,-37.68378385472222,144.9138839263889,2017-02-22
02120,-37.68309172808333,144.91315288175,2017-02-22
02121,-37.68089289686111,144.89751554927776,2017-02-22
02122,-37.68085270111111,144.89864447902778,2017-02-22
02123,-37.686673829305555,144.93149353747222,2017-02-22
02124,-37.68653336858333,144.9303762767222,2017-02-22
02125,-37.686868036638884,144.93305774691666,2017-02-22
02126,-37.68634553233333,144.92880917930555,2017-02-22
02127,-37.68700485888888,144.93417578611113,2017-02-22
02128,-37.68619476758333,144.92769436447222,2017-02-22
02129,-37.68095458658333,144.89570732955553,2017-02-22
02130,-37.68936633536111,144.95637207725,2017-02-22
02131,-37.68091623830556,144.89683729933333,2017-02-22
02132,-37.68925665413889,144.95525177569442,2017-02-22
02133,-37.68078415255555,144.90101599705557,2017-02-22
02134,-37.68487145469444,144.91753458816666,2017-02-22
02135,-37.68078337169444,144.89988588208334,2017-02-22
02136,-37.68503715861111,144.91864293183332,2017-02-22
02137,-37.68147125416667,144.90794887227779,2017-02-22
02138,-37.68130088661111,144.9068468136389,2017-02-22
02139,-37.680678019527775,144.88915969955553,2017-02-22
02140,-37.68076298141666,144.8902895120833,2017-02-22
02141,-37.68554134327778,144.92232384822222,2017-02-22
02142,-37.68540240563888,144.92120474952776,2017-02-22
02143,-37.68584359675,144.92478472313888,2017-02-22
02144,-37.68570584786111,144.92366509263888,2017-02-22
02145,-37.68527876036111,144.9203127418889,2017-02-22
02146,-37.68512039722222,144.9191980022222,2017-02-22
02147,-37.68079808472222,144.89074105044443,2017-02-22
02148,-37.68115556255555,144.88388252716666,2017-02-22
02149,-37.680853800305556,144.89187334683334,2017-02-22
02150,-37.68119422661111,144.9059592001111,2017-02-22
02151,-37.681103913,144.90484031319446,2017-02-22
02152,-37.68903821183333,144.9538109908611,2017-02-22
02153,-37.68079858802778,144.89966013002777,2017-02-22
02154,-37.68890201211111,144.95269330138888,2017-02-22
02155,-37.68085642697222,144.89853157641667,2017-02-22
02156,-37.687991086888886,144.94302245944445,2017-02-22
02157,-37.68786963116666,144.94190312547224,2017-02-22
02158,-37.68054613511111,144.88656357558332,2017-02-22
02159,-37.68056041658333,144.88769124494445,2017-02-22
02160,-37.68109055130555,144.90393585500001,2017-02-22
02161,-37.68097805136111,144.9028117641111,2017-02-22
02162,-37.68095923930555,144.89322674874998,2017-02-22
02163,-37.68855177519444,144.9487494266111,2017-02-22
02164,-37.68944413780555,144.9579542393611,2017-02-22
02165,-37.68100262988889,144.89435438816665,2017-02-22
02166,-37.68864441183333,144.9498766928889,2017-02-22
02167,-37.68935938958333,144.95682518652777,2017-02-22
02168,-37.68613288183333,144.92724986041665,2017-02-22
02169,-37.68599894936111,144.92613193913888,2017-02-22
02170,-37.682344664027774,144.9121734921389,2017-02-22
02171,-37.68196413380555,144.91115157175,2017-02-22
02172,-37.688197547416664,144.94503961455555,2017-02-22
02173,-37.68101668702778,144.8848774431111,2017-02-22
02174,-37.688082260638886,144.94391936697224,2017-02-22
02175,-37.680655464666664,144.88590391408331,2017-02-22
02176,-37.68767724047222,144.94034329858334,2017-02-22
02177,-37.68758084969444,144.9392113745,2017-02-22
02178,-37.686907935305555,144.93339320880557,2017-02-22
02179,-37.686331052777774,144.92869755838888,2017-02-22
02180,-37.686771971249996,144.9322754356111,2017-02-22
02181,-37.686465169138884,144.92981713841667,2017-02-22
02182,-37.68883534574999,144.95201848738887,2017-02-22
02183,-37.68872734852778,144.95089218291665,2017-02-22
02184,-37.68077109627777,144.9006774433611,2017-02-22
02185,-37.68488786744444,144.91764530275,2017-02-22
02186,-37.680842067777775,144.9018056935278,2017-02-22
